run_id,date,method,crop_split,heldout_crop,n_labels,seed,config_path,command,checkpoint_path,status,notes
dataset_tomato,2026-03-25,manifest_add,tomato,,513,42,configs/datasets/tomato.yaml,, ,added,Tomato manifest added
dataset_strawberry,2026-03-25,manifest_add,strawberry,,4000,42,configs/datasets/strawberry.yaml,, ,added,Strawberry manifest added
dataset_apple,2026-03-25,manifest_add,apple,,10000,42,configs/datasets/apple.yaml,, ,added,Apple manifest added
dataset_kiwi,2026-03-25,manifest_add,kiwi,,302,42,configs/datasets/kiwi.yaml,, ,added,Kiwi (held-out) manifest added
step2_downloader,2026-03-25,script_add,,,,,scripts/download_datasets.py,, ,added,Roboflow dataset download script
step2_validator,2026-03-25,script_add,,,,,src/greenpoll/data/validate_yolo_labels.py,, ,added,YOLO label format validator
step2_data_docs,2026-03-25,doc_add,,,,,data/README.md,, ,added,Dataset structure and freeze policy documentation
scratch_kiwi_b25_s42,2026-03-25,scratch,kiwi,kiwi,25,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 25,runs/step3/scratch/scratch_kiwi_b25_s42/weights/best.pt,completed,mAP50=0.006
coco_transfer_kiwi_b25_s42,2026-03-25,coco_transfer,kiwi,kiwi,25,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 42 --budgets 25,runs/step3/coco_transfer/coco_transfer_kiwi_b25_s42/weights/best.pt,completed,mAP50=0.8995
scratch_kiwi_b50_s42,2026-03-25,scratch,kiwi,kiwi,50,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s42/weights/best.pt,completed,mAP50=0.8485
scratch_kiwi_b100_s42,2026-03-25,scratch,kiwi,kiwi,100,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s42/weights/best.pt,completed,mAP50=0.919
scratch_kiwi_b200_s42,2026-03-25,scratch,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s42/weights/best.pt,completed,mAP50=0.9213
scratch_kiwi_b500_s42,2026-03-25,scratch,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 181,runs/step3/scratch/scratch_kiwi_b500_s42/weights/best.pt,completed,mAP50=0.9213
scratch_kiwi_b50_s43,2026-03-25,scratch,kiwi,kiwi,50,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s43/weights/best.pt,completed,mAP50=0.0103
scratch_kiwi_b100_s43,2026-03-25,scratch,kiwi,kiwi,100,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s43/weights/best.pt,completed,mAP50=0.9067
scratch_kiwi_b200_s43,2026-03-25,scratch,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s43/weights/best.pt,completed,mAP50=0.9307
scratch_kiwi_b500_s43,2026-03-25,scratch,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 181,runs/step3/scratch/scratch_kiwi_b500_s43/weights/best.pt,completed,mAP50=0.9307
scratch_kiwi_b50_s44,2026-03-26,scratch,kiwi,kiwi,50,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s44/weights/best.pt,completed,mAP50=0.8473
scratch_kiwi_b25_s43,2026-03-26,scratch,kiwi,kiwi,25,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 25,runs/step3/scratch/scratch_kiwi_b25_s43/weights/best.pt,completed,mAP50=0.007
scratch_kiwi_b25_s44,2026-03-26,scratch,kiwi,kiwi,25,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 25,runs/step3/scratch/scratch_kiwi_b25_s44/weights/best.pt,completed,mAP50=0.0035
scratch_kiwi_b100_s44,2026-03-27,scratch,kiwi,kiwi,100,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s44/weights/best.pt,completed,mAP50=0.8721
scratch_kiwi_b200_s44,2026-03-30,scratch,kiwi,kiwi,181,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s44/weights/best.pt,completed,mAP50=0.8735
scratch_kiwi_b25_s42,2026-05-04,scratch,kiwi,kiwi,25,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 25,runs/step3/scratch/scratch_kiwi_b25_s42/weights/best.pt,completed,mAP50=0.0089
scratch_kiwi_b50_s42,2026-05-04,scratch,kiwi,kiwi,50,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s42/weights/best.pt,completed,mAP50=0.6989
scratch_kiwi_b100_s42,2026-05-04,scratch,kiwi,kiwi,100,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s42/weights/best.pt,completed,mAP50=0.8931
scratch_kiwi_b200_s42,2026-05-04,scratch,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s42/weights/best.pt,completed,mAP50=0.9052
scratch_kiwi_b500_s42,2026-05-04,scratch,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 181,runs/step3/scratch/scratch_kiwi_b500_s42/weights/best.pt,completed,mAP50=0.9052
scratch_kiwi_b25_s43,2026-05-04,scratch,kiwi,kiwi,25,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 25,runs/step3/scratch/scratch_kiwi_b25_s43/weights/best.pt,completed,mAP50=0.0042
scratch_kiwi_b50_s43,2026-05-04,scratch,kiwi,kiwi,50,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s43/weights/best.pt,completed,mAP50=0.0114
scratch_kiwi_b100_s43,2026-05-04,scratch,kiwi,kiwi,100,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s43/weights/best.pt,completed,mAP50=0.8828
scratch_kiwi_b200_s43,2026-05-04,scratch,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s43/weights/best.pt,completed,mAP50=0.914
scratch_kiwi_b500_s43,2026-05-04,scratch,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 181,runs/step3/scratch/scratch_kiwi_b500_s43/weights/best.pt,completed,mAP50=0.914
scratch_kiwi_b25_s44,2026-05-04,scratch,kiwi,kiwi,25,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 25,runs/step3/scratch/scratch_kiwi_b25_s44/weights/best.pt,completed,mAP50=0.0
scratch_kiwi_b50_s44,2026-05-04,scratch,kiwi,kiwi,50,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s44/weights/best.pt,completed,mAP50=0.0
scratch_kiwi_b100_s44,2026-05-04,scratch,kiwi,kiwi,100,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s44/weights/best.pt,completed,mAP50=0.866
scratch_kiwi_b200_s44,2026-05-04,scratch,kiwi,kiwi,181,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s44/weights/best.pt,completed,mAP50=0.8975
scratch_kiwi_b500_s44,2026-05-04,scratch,kiwi,kiwi,181,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 181,runs/step3/scratch/scratch_kiwi_b500_s44/weights/best.pt,completed,mAP50=0.8975
coco_transfer_kiwi_b25_s42,2026-05-04,coco_transfer,kiwi,kiwi,25,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 42 --budgets 25,runs/step3/coco_transfer/coco_transfer_kiwi_b25_s42/weights/best.pt,completed,mAP50=0.8919
coco_transfer_kiwi_b50_s42,2026-05-04,coco_transfer,kiwi,kiwi,50,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 42 --budgets 50,runs/step3/coco_transfer/coco_transfer_kiwi_b50_s42/weights/best.pt,completed,mAP50=0.9246
coco_transfer_kiwi_b100_s42,2026-05-04,coco_transfer,kiwi,kiwi,100,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 42 --budgets 100,runs/step3/coco_transfer/coco_transfer_kiwi_b100_s42/weights/best.pt,completed,mAP50=0.9465
coco_transfer_kiwi_b200_s42,2026-05-04,coco_transfer,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 42 --budgets 181,runs/step3/coco_transfer/coco_transfer_kiwi_b200_s42/weights/best.pt,completed,mAP50=0.9407
coco_transfer_kiwi_b500_s42,2026-05-04,coco_transfer,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 42 --budgets 181,runs/step3/coco_transfer/coco_transfer_kiwi_b500_s42/weights/best.pt,completed,mAP50=0.9407
coco_transfer_kiwi_b25_s43,2026-05-04,coco_transfer,kiwi,kiwi,25,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 43 --budgets 25,runs/step3/coco_transfer/coco_transfer_kiwi_b25_s43/weights/best.pt,completed,mAP50=0.871
coco_transfer_kiwi_b50_s43,2026-05-04,coco_transfer,kiwi,kiwi,50,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 43 --budgets 50,runs/step3/coco_transfer/coco_transfer_kiwi_b50_s43/weights/best.pt,completed,mAP50=0.9309
coco_transfer_kiwi_b100_s43,2026-05-04,coco_transfer,kiwi,kiwi,100,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 43 --budgets 100,runs/step3/coco_transfer/coco_transfer_kiwi_b100_s43/weights/best.pt,completed,mAP50=0.9405
coco_transfer_kiwi_b200_s43,2026-05-04,coco_transfer,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 43 --budgets 181,runs/step3/coco_transfer/coco_transfer_kiwi_b200_s43/weights/best.pt,completed,mAP50=0.9437
coco_transfer_kiwi_b500_s43,2026-05-04,coco_transfer,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 43 --budgets 181,runs/step3/coco_transfer/coco_transfer_kiwi_b500_s43/weights/best.pt,completed,mAP50=0.9437
coco_transfer_kiwi_b25_s44,2026-05-04,coco_transfer,kiwi,kiwi,25,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 44 --budgets 25,runs/step3/coco_transfer/coco_transfer_kiwi_b25_s44/weights/best.pt,completed,mAP50=0.9136
coco_transfer_kiwi_b50_s44,2026-05-04,coco_transfer,kiwi,kiwi,50,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 44 --budgets 50,runs/step3/coco_transfer/coco_transfer_kiwi_b50_s44/weights/best.pt,completed,mAP50=0.921
coco_transfer_kiwi_b100_s44,2026-05-04,coco_transfer,kiwi,kiwi,100,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 44 --budgets 100,runs/step3/coco_transfer/coco_transfer_kiwi_b100_s44/weights/best.pt,completed,mAP50=0.9339
coco_transfer_kiwi_b200_s44,2026-05-04,coco_transfer,kiwi,kiwi,181,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 44 --budgets 181,runs/step3/coco_transfer/coco_transfer_kiwi_b200_s44/weights/best.pt,completed,mAP50=0.9368
coco_transfer_kiwi_b500_s44,2026-05-04,coco_transfer,kiwi,kiwi,181,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 44 --budgets 181,runs/step3/coco_transfer/coco_transfer_kiwi_b500_s44/weights/best.pt,completed,mAP50=0.9368
crosspoll_kiwi_b10_s42,2026-05-04,crosspoll,kiwi,kiwi,10,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 42 --budgets 10,runs/step3/crosspoll/crosspoll_kiwi_b10_s42/weights/best.pt,completed,mAP50=0.2594
crosspoll_kiwi_b25_s42,2026-05-04,crosspoll,kiwi,kiwi,25,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 42 --budgets 25,runs/step3/crosspoll/crosspoll_kiwi_b25_s42/weights/best.pt,completed,mAP50=0.8953
crosspoll_kiwi_b50_s42,2026-05-04,crosspoll,kiwi,kiwi,50,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 42 --budgets 50,runs/step3/crosspoll/crosspoll_kiwi_b50_s42/weights/best.pt,completed,mAP50=0.9061
crosspoll_kiwi_b100_s42,2026-05-04,crosspoll,kiwi,kiwi,100,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 42 --budgets 100,runs/step3/crosspoll/crosspoll_kiwi_b100_s42/weights/best.pt,completed,mAP50=0.9208
crosspoll_kiwi_b181_s42,2026-05-04,crosspoll,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 42 --budgets 181,runs/step3/crosspoll/crosspoll_kiwi_b181_s42/weights/best.pt,completed,mAP50=0.9333
crosspoll_kiwi_b10_s43,2026-05-04,crosspoll,kiwi,kiwi,10,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 43 --budgets 10,runs/step3/crosspoll/crosspoll_kiwi_b10_s43/weights/best.pt,completed,mAP50=0.3637
crosspoll_kiwi_b25_s43,2026-05-04,crosspoll,kiwi,kiwi,25,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 43 --budgets 25,runs/step3/crosspoll/crosspoll_kiwi_b25_s43/weights/best.pt,completed,mAP50=0.1783
crosspoll_kiwi_b50_s43,2026-05-04,crosspoll,kiwi,kiwi,50,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 43 --budgets 50,runs/step3/crosspoll/crosspoll_kiwi_b50_s43/weights/best.pt,completed,mAP50=0.912
crosspoll_kiwi_b100_s43,2026-05-04,crosspoll,kiwi,kiwi,100,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 43 --budgets 100,runs/step3/crosspoll/crosspoll_kiwi_b100_s43/weights/best.pt,completed,mAP50=0.9249
crosspoll_kiwi_b181_s43,2026-05-04,crosspoll,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 43 --budgets 181,runs/step3/crosspoll/crosspoll_kiwi_b181_s43/weights/best.pt,completed,mAP50=0.9331
crosspoll_kiwi_b10_s44,2026-05-04,crosspoll,kiwi,kiwi,10,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 44 --budgets 10,runs/step3/crosspoll/crosspoll_kiwi_b10_s44/weights/best.pt,completed,mAP50=0.3692
crosspoll_kiwi_b25_s44,2026-05-04,crosspoll,kiwi,kiwi,25,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 44 --budgets 25,runs/step3/crosspoll/crosspoll_kiwi_b25_s44/weights/best.pt,completed,mAP50=0.9061
crosspoll_kiwi_b50_s44,2026-05-04,crosspoll,kiwi,kiwi,50,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 44 --budgets 50,runs/step3/crosspoll/crosspoll_kiwi_b50_s44/weights/best.pt,completed,mAP50=0.9097
crosspoll_kiwi_b100_s44,2026-05-04,crosspoll,kiwi,kiwi,100,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 44 --budgets 100,runs/step3/crosspoll/crosspoll_kiwi_b100_s44/weights/best.pt,completed,mAP50=0.9262
crosspoll_kiwi_b181_s44,2026-05-04,crosspoll,kiwi,kiwi,181,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods crosspoll --seeds 44 --budgets 181,runs/step3/crosspoll/crosspoll_kiwi_b181_s44/weights/best.pt,completed,mAP50=0.9337
